内蒙古,#genre#
内蒙古卫视,http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000219
内蒙古卫视(HD),http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000028
内蒙古蒙语卫视,http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000220
内蒙古蒙语卫视(HD),http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000227
内蒙古蒙语文化,http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000221
内蒙古蒙语文化(HD),http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000637
内蒙古经济生活,http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000223
内蒙古经济生活(HD),http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000640
内蒙古农牧,http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000228
内蒙古农牧(HD),http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000639
内蒙古少儿,http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000226
内蒙古少儿(HD),http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000634
内蒙古文体娱乐,http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000224
内蒙古文体娱乐(HD),http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000638
内蒙古新闻综合,http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000222
内蒙古新闻综合(HD),http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000636

呼市都市生活,http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000229
呼市新闻综合,http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000230
呼市影视,http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000231
呼市-和林,http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000508
呼市-土左,http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000515
呼市-托克托,http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000502
呼市-武川,http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000499
呼市-武川广播,http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000525
